legislator,volunteer,date,typeOfContact,notes,support,state
Trip Pittman ,Eric Peterson,7/19/2017,Phone call with staff,"I called and was greeted by an aide, Louise, who I asked whether the Senator would be willing to support the Free and Fair Elections Resolution. Louise noted my question and said she would ask the Senator this afternoon, so I left my phone number with her and hope to hear back soon. ",2 - Not Confirmed,AL
Dick Brewbaker,Damon Sutherland,8/6/2017,Emailed legislator,"Emailed Senator again, logging contact _prior_ to any potential reply.",N/A,AL
Arthur Orr,Bob Schade,8/21/2017,Phone call with staff,I also called Arthur Orr's office and a staffer answered the phone. She was very nice and recorded my concerns and phone number so that the Senator can return my call. I also followed up with an email sent through the Senator's legislative contact page.,N/A,AL
Tom Whatley,Samantha Eckes,8/30/2017,Met Legislator,"Meeting started off with introductions and backgrounds. He was very wary of run away convention, even after reassurance that the runaway has checks to prevent that. He is not on board but he didn't shoot it down. Will be looking to meet with him again.",2 - Not Confirmed,AL
Arthur Orr,Bob Schade,10/4/2017,Emailed legislator,No response from Arthur Orr or staff,2 - Not Confirmed,AL
Arthur Orr,Bob Schade,10/18/2017,Emailed legislator,"My name is Bob Schade. I live in Somerville, AL and work in Decatur, AL., you are my representative for Senate District 3. I am writing to you because I don’t believe the average citizen is being heard in Washington. It seems to me that special interests still have a firm grip on policy decisions in Washington. I am reaching out to ask you what your position is on big money in politics. This issue is very important to me and I would appreciate the opportunity to sit with you in person to discuss this issue.",2 - Not Confirmed,AL
Arthur Orr,Bob Schade,10/20/2017,Phone call with staff,"Spoke with Julie White(?), not sure spelling of last name is correct. Scheduled a meeting with the Senator for 11/06/2017 at his Decatur, AL office.",2 - Not Confirmed,AL
Arthur Orr,Bob Schade,11/6/2017,Met Legislator,"Meeting with Senator Orr at his Decatur office.
40-minute meeting – Senator Orr is an affable and likeable person. He is a proponent of campaign finance reforms and has managed to pass some reform legislation in Alabama. However, he is a proponent of transparency, not contribution limits. He is very familiar with the Article V process has he was involved in getting legislation passed in Alabama calling for an Article V convention for a balanced budget amendment. He is aware of Wolf-Pac, but he seems to conflate Wolf-Pac’s amendment content intentions versus the simple calling for a convention. I kept steering the conversation back to Wolf-Pac’s call for a convention only and that policy would be set by the convention delegates, not Wolf-Pac.

Senator Orr welcomed my intent to call him back in a few weeks. However, he believes his yet to be sent letter will explain his position to me without any further contact needed. I will follow up with him by phone, but I surmise that his Republican roots will keep him from supporting Wolf-Pac’s resolution. ",3 - Unsupportive,AL
Dick Brewbaker,Damon Sutherland,11/18/2017,Emailed legislator,"Emailed as a constituent asking position, have yet to hear back",N/A,AL
"Lee ""Trip"" Pittman",Damon Sutherland,11/18/2017,Emailed legislator,"Emailed as a Wolf PAC volunteer, have yet to hear back",N/A,AL
Bill Wielechowski,Bryant Lemay,12/14/2016,Phone call with staff,"Spoke w/ Secretary. She immediately knew of WP. (She is moving to a different office soon. Will have new Sec.) Told her I was looking for leads on who to contact from the Sen. Said she would relay the info, seemed sincere.",N/A,AK
Bill Stoltze,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Gary Stevens,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Bert Stedman,Bryant Lemay,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Peter Micciche,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Lesile McGuire,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Anna MacKinnon,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Pete Kelly,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Charlie Huggins,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Cathy Giessel,Bryant Lemay,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Mike Dunleavy,Bryant Lemay,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Mia Costello,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Click Bishop,Bryant,12/17/2016,Left voicemail,Left VM and sent Email Template,,AK
Bill Wielechowski,Bryant,12/30/2016,Phone call with staff,"Tyler told me a staffer (Thomas.presley@akleg.gov) ""We are on the list for bills he will propose during the upcoming session...They said they were 100% sure about pre filing""... I called the staffer I spoke to said she was new but would talk to chief of staff when he returned and call me back",,AK
Bill Wielechowski,Bryant,1/18/2017,Phone call with staff,Spoke to assistant. Told him who I was. Asked for the Senator to call me back,,AK
Mia Costello,Orren,1/19/2017,Phone call with staff,I do not think I communicated my ideas well. She would be good for a call back later.,N/A,AK
Peter Micciche,Orren Wilkinson ,1/19/2017,Phone call with staff,Just a phone call to office ,2 - Not Confirmed,AK
Peter Micciche ,Orren,1/19/2017,Emailed legislator,Sent him an email asking for his support. It also has resolution attached.,2 - Not Confirmed,AK
Click Bishop,Orren Wilkinson ,1/19/2017,Phone call with staff,Sounded supportive. Good lead and my home district.,1 - Supportive,AK
Bert Stedman,Orren,1/19/2017,Phone call with staff,Sounded slightly supportive,1 - Supportive,AK
Bert Stedman ,Orren Wilkinson ,1/19/2017,Phone call with staff,They wanted to know more.,2 - Not Confirmed,AK
Pete Kelly ,Orren,1/19/2017,Phone call with staff,Normal call,2 - Not Confirmed,AK
Pete Kelly ,Orren,1/19/2017,Emailed legislator,Sent a email. I hope he supports.,2 - Not Confirmed,AK
Gary Stevens,Tyler Parmelee,1/26/2017,Phone call with staff,Ask staffer is the Senator would be willing to co sponsor the resolution. Staffer said they would look into it and asked for me to email her a copy of the resolution for review. ,2 - Not Confirmed,AK
Bill Wielechowski,Bryant,3/8/2017,Phone call with staff,"The senator introduced a resolution for us but the language didn't match ours. Has no reference to Article V. Spoke to staff about possibly amending the resolution. Nate Graham asked for an email outlining the changes we want. (nate,graham@akleg.com)",,AK
David Wilson,Bryant,7/18/2017,Met Legislator,Testing Testing,N/A,AK
Pete Kelly,Michael Coelho,7/10/2017,Left voicemail,Traded voicemails,,AK
Dennis Egan,Brian Browitt,7/11/2017,Phone call with staff,"I shared basic info on the effort to bring about fair elections through the amendment process and the staff member was very interested, asked a lot of questions and said he was going to do his own research and get back to me.",2 - Not Confirmed,AK
Dennis Egan,Brian Browitt,8/9/2017,Left voicemail,I called Mr. Egan to follow up on our initial conversation. I left a message saying that I would like a brief meeting and that I am available should he have any questions about the proposal.,2 - Not Confirmed,AK
Tom Begich,Raymond O'Neill,10/20/2017,Phone call with staff,Spoke with interested staff who asked to have material sent. AK Legislature is in special session on other issues the last two week of October.,2 - Not Confirmed,AK
Tom Begich,Raymond O'Neill,10/23/2017,Emailed legislator,Email to Staff and to Senator included a copy of AK resolution and made a cover letter out of the 10 talking points document. ,2 - Not Confirmed,AK
Bert Stedman,Craig Ward,10/23/2017,Left voicemail,"I called Sen Stedman's office and left a message. I hoped that I would catch someone in the office with this special legislative session but no luck. I have met previously with Sen Stedman on issues related to my work, and I have found him to be someone who already has an agenda and is not open to constituents with differing ideas.",2 - Not Confirmed,AK
Cathy Giessel,Jason,11/13/2017,Phone call with staff,Senator Giessel is out for a week or two and will call back then. ,2 - Not Confirmed,AK
Wes Keller,Bryant Lemay,12/15/2016,Left voicemail,Left Voicemail,N/A,AK
Bob Lynn,Bryant Lemay,12/15/2016,Left voicemail,Left Voicemail,N/A,AK
Cathy Munoz,Bryant Lemay,12/15/2016,Left voicemail,Left Voicemail,N/A,AK
Gabrielle LeDoux,Bryant Lemay,12/16/2016,Left voicemail,Gabrielle LeDoux is a primary interest of ours. Left voicemail requesting a conversation.,N/A,AK
Kurt Olson,Chris Sharpe,12/16/2016,Left voicemail,Left voicemail with call back details (phone; email) and the purpose of the resolution.,2 - Not Confirmed,AK
Charisse Millet,Chris Sharpe,12/16/2016,Phone call with staff,"Staff wanted to know ""What exactly is the resolution"" and ""What exactly do you propose to do to get the money out of politics?"" Missed opportunity to describe it as ""a conversation that needs to be started in a national convention.""",,AK
Gabrielle LeDoux,Chris Sharpe,12/16/2016,Phone call with staff,"LeDoux sponsored legislation or a resolution in 2016 for term limits. Rep would be favorable (""she would smile on"") to this kind of resolution but, according to assistant, would not sponsor because she is the chair of the rules committee. ",,AK
LIz Vazquez,Chris Sharpe,11/16/2016,Phone call with Legislator,"This legislator was not reelected.
She believes the unions are the problem: if we don't keep an eye on the unions they will unduly influence elections. Therefore special interest and cooperate money are needed to balance that power that the unions have. She was not interested in the fact the unions have been losing power since Reagan...
She said the Democrats (she lost to one) are ""tax and spend"" and some other party line stuff",,AK
Jim Colver,Bryant Lemay,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Lynn Gattis,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Mike Hawker,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Shelley Hughes,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Craig Johnson,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Wes Keller,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Gabrielle LeDoux,Bryant,12/19/2016,Emailed legislator,Sent Email template,,AK
Bob Lynn,Bryant,12/19/2016,Emailed legislator,Sent Email template,,AK
Cathy Munoz,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Mark Neumen,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Kurt Olson,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Lance Pruitt,Bryant,12/19/16,Left voicemail,Left VM and sent Email template,,AK
Lora Reinbold,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Dan Saddler,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Paul Seaton,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Louis Stutes,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Dave Talerico,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Cathy Tilton,Bryant,12/19/16,Left voicemail,Left VM and sent Email template,,AK
Liz Vasquez,Bryant,12/19/2016,Left voicemail,Left VM and sent Email template,,AK
Adam whool,Orren,12/30/2016,Left voicemail,Left voice mail ,,AK
Adam wool,Orren Wilkinson,1/4/2017,Phone call with staff,We had a meaningful conversation and will try to arrange a meeting thursday or friday,1 - Supportive,AK
Adam wool,Orren Wilkinson,1/4/2017,Emailed legislator,Sending him a email of what we are working on so he can go over it before meeting,1 - Supportive,AK
Wes Keller,Bryant,1/6/17,Met Legislator,asdf,1 - Supportive,AK
Paul Seaton,Tyler Parmelee,1/27/2017,Phone call with Legislator,"Not sure if I had the right number. Went to the voicemail of some ""public assistance"" organization. ",N/A,AK
Louise Stutes,Tyler Parmelee,1/27/2017,Phone call with Legislator,Talked with staffer. Staffer said they would reach out to Sen. Wielechowski to review the resolution and whether or not to co sponsor. ,2 - Not Confirmed,AK
Colleen Sullivan-Leonard ,Kit Kennedy,7/5/2017,Phone call with staff,"Spoke with staff, they said they'd contact her and have her call me back. I'm in vacation but haven't heard back yet. ",2 - Not Confirmed,AK
Steve Thompson,Michael Coelho,7/10/2017,Left voicemail,Left voice mail,N/A,AK
Justin Parish,Brian Browitt,7/19/2017,Left voicemail,"I left a voicemail trying to set up an appointment with my availability. I had a call back voicemail left on my phone shortly after(I went back to work) and they gave a list of times, none of which I could go to so I'll have to call them back and try and reschedule. They sounded open to the meeting though.",2 - Not Confirmed,AK
Justin Parish,Brian Browitt,7/21/2017,Left voicemail,I set an appointment with Mr. Parish for 2:30pm on Monday the 24th. ,2 - Not Confirmed,AK
Justin Parish,Brian A. Browitt,7/24/2017,Met Legislator,I had a 15 min meeting with Justin Parish. We talked about the amendment and he seems on board.,1 - Supportive,AK
Les Gara,Raymond,9/5/2017,Met Legislator,"Met one on one with Rep. Gara. He's a proponenet of campaign finance reform and has a history of sponsoring and co-sponsoring HJR 11 calling on Congress to overturn Citizens United, but he is sure it will not go anywhere because no Republican support. This is not a resolution calling for an Article V convention, but rather calls on Congress to overturn Supreme Court Decision. ",1 - Supportive,AK
Geran Tarr,Raymond,9/5/2017,Met with staff,"Met with Staff, Magdelena, she was very helpful. I left a note for the Rep. thanking here for sponsoring HJR 11 although I now see that it is not a resolution calling for an Amendment Convention, rather a resolution calling on Congress to overturn the Citizens United Decision.",1 - Supportive,AK
Les Gara,Raymond,9/7/2017,Emailed legislator,"Emailed thanks and to follow up on office visit/discussion on Tuesday. Pointed out that the current HJR 11 filed calls for Congress to overturn citizens united, and that we should instead consider resolution to join other states in calling for an Article 5 Convention.",1 - Supportive,AK
Les Gara,Raymond,9/15/2017,Phone call with Legislator,"I called since not receiving a reply to email follow-up after 9/5 meeting. I spoke to Rep. Gara and explained that I'd read the HJR 11 Move to Amend resolution that's been filed, and I suggested that an amendment convention might be a better approach than asking Congress to Amend. He insists that, since there's never been an amendment convention, it will not work and he does not want to put energy into something that won't work (including the current HJR 11). He seems resigned to the situation not changing because of the Gorsuch appointment and current administration. His tone was aggravated with my persistence though i tried to be soft spoken and suggestive. ",2 - Not Confirmed,AK
Geran Tarr,Raymond,9/15/2017,Phone call with staff,"Rep. Tarr's has filed HJR 11 Move to Amend and I met her Anchorage staff, Magdalena on 9/5. I called Magdalena 9/15 and asked about the status of HJR 11 and my opinion that it should be about an amendment convention rather than an ask of Congress. She suggested I send in some language, a letter of support or supporting documentation for HJR 11, and schedule a meeting with the Rep. ",1 - Supportive,AK
Dan Ortiz,Craig Ward,10/23/2017,Phone call with staff,"I spoke with Rep Ortiz's staffer in his office. She was friendly and as we talked about reforming campaign finance, she mentioned that she watches TYT on-line. I brought up a grassroots movement to change the laws beginning with the states and briefly mentioned an Article V convention. She said she would investigate the movement further and would make sure that Rep Ortiz learned more about this issue. I have met with Rep Ortiz many times in the past and have found him willing to listen and consider issues that are important to his constituents. I believe he could be an ally in this effort.",2 - Not Confirmed,AK
Geran Tarr,Raymond,11/9/2017,Email Response,Rep. Tarr is sponsoring a bill calling on Congress to overturn CU which is why I contacted here. She responded with the concern about an Article 5 convention being hijacked (runaway) by right-wing delegates. ,1 - Supportive,AK
Justin Parish,Raymond,11/16/2017,Phone call with staff,"Introduced myself and and our resolution to Lisa Worl, Legislative aid. She suggested I keep in touch and email the Rep. and Cc my own Rep. -Will do!",2 - Not Confirmed,AK
Lance Pruitt ,Jason,11/9/2017,Phone call with staff,"Left brief message with staff, waiting on call back. ",2 - Not Confirmed,AK
Kelli Butler,Tony Spears,5/12/2017,Left voicemail,"I was able to call Rep. Butler and leave a nice and polite voicemail. I hope to hear back from her next week, but will make a call Monday morning to follow up with her staff just in case. ",N/A,AZ
Maria Syms,Tony Spears,5/12/2017,Left voicemail,I called Maria Syms and let her know I was a member of Wolf-PAC and a new constituent in her district and wanted to chat with her about money in politics at the federal level and about how we solve the problem at the local level. I left my information and hope to hear back from her. Will do a follow up call with her Monday morning just to make sure she got my message. ,N/A,AZ
Kelli Butler,Tony Spears,5/15/2017,Phone call with staff,I was able to get a hold of staff members and was able to make contact. Talked with Ms. Snipes from Kelli Butler's staff. She wanted me to send her the Arizona resolution through an email and to make sure she gets it. I'll make sure to send it Tuesday morning. ,N/A,AZ
reginald bolding,Rogelio Ramirez,5/22/2017,Phone call with staff,I called representative Boldings office and was answered by Nancy Finch. I gave her the level 3 blurb. She said that she would forward my concern to the rep. I got her email which is nfinch@azleg.gov and I plan to follow up with her next week.,2 - Not Confirmed,AZ
JILL NORGAARD,Sarah Jamie Johnson,6/8/2017,Phone call with staff,Called and spoke to her assistant Tracy and she will be out of the office until 06/12/2017. ,N/A,AZ
MITZI EPSTEIN,Sarah Jamie Johnson,6/8/2017,Phone call with staff,"Representative Epstein and her assistant Jasmine, were both out of the office getting breakfast. Left a message with coverage assistant Ricky.",N/A,AZ
Mitzi Epstein,Sarah Jamie Johnson,6/8/2017,Emailed legislator,Emailed the sample email to her.,N/A,AZ
Jill Noraard,Sarah Jamie Johnson,6/8/2017,Emailed legislator,Emailed the sample email.,N/A,AZ
Mitzi Epstein,Anthony Spears,6/9/2017,Phone call with staff,I talked with her staff assistant who is happens to be the very same assistant for Kelli Butler. Her name is Jasmin Snipes. Very nice woman and easy to chat with. She suggested an email to Ms. Epstein and I'll send the next day and follow up with her that coming Monday. ,2 - Not Confirmed,AZ
Jill Norgaard,Anthony Spears,6/9/2017,Left voicemail,I left a very polite voicemail talking with my contact information and will hope to chat with them sometime in the future. ,N/A,AZ
Mitzi Epstein,Sarah Jamie Johnson,6/12/2017,Phone call with Legislator,Discussed meeting to talk about the resolution on July 7th in person.,1 - Supportive,AZ
Maria Syms,Tony Spears,6/19/2017,Met with staff,Talked with staff to get a hold of Maria's email and her staff members email address. Hand polite conversation. Will follow up with an email to Rep. Syms about getting money out of politics. ,2 - Not Confirmed,AZ
"reginald bolding, rebecca rios, catherine miranda",Rogelio Ramirez,6/22/2017,Phone call with staff,i called into the offices of district 27 legislators. Rep Rios and Sen Miranda are out of town for a convention and it will be a couple of weeks before we hear back from them again. Rep Boldings assistant did not have any updates for me on setting up a meeting with him.,2 - Not Confirmed,AZ
Kelli Butler,Dhanya Tadipatri,6/26/2017,Phone call with Legislator,"We spoke on the phone about getting money out of politics. She said she was aware of the issue and also spoke with Tony Spears about it. She said she fully supports the idea but is unsure of how to get there. She seemed hesitant and thought a convention could cause too big a disruption, she also said she might be more supportive if more states joined in on the effort. I spoke with her on some of these concerns but she still didn't seem to be convinced.",2 - Not Confirmed,AZ
reginald bolding,Rogelio Ramirez,6/27/2017,Phone call with staff,ive been emailing staff and i will be meeting with rep bolding on thursday nune 6th at 2pm at his office.,2 - Not Confirmed,AZ
reginald bolding,Rogelio Ramirez,7/7/2017,Met Legislator,I met with the Rep. he said he is supportive of the bill but has not commited to being a co-sponsor or a primesponsor for the bill. the democratic caucus is having a retreat in august and he is going to see if he can get me in and give us a 15 min slot to speak to them. He did recomend that we focus on the legislators in the elections commitee.,2 - Not Confirmed,AZ
Mitzi Epstein,Sarah Jamie Johnson,7/7/2017,Met Legislator,"Meeting between myself, Sarah Jamie Johnson, and Representative Mitzi Epstein at Einstein Bagels on 48th Street & Ray Road, Phoenix at 10:30am on Friday 07/07/2017
Ms. Epstein and I spoke about Free & Fair Elections. She state she is for keeping money out of politics but she has a lot of questions as to our idea of resolution thru Limited and not Constitutional Amendment Convention. 
Her main questions are...
1. Donor/Voter Rule. We can both understand the need to eliminate big business, lobbiest and corporate backers. BUT, she also sees the need to define it because some of the donors from other states are the relatives of the people running. So we need to clarify who can be a donor. Best quote she gave me was that we needed to ""get back to 1 vote/ 1 person, and not 1-$1/ 1 vote"". Also reminded me that Arizona does have a Clean Elections Commision currently and is trying to push it as an example for the rest of the country.

2. Paragraph 7 on our Arizona Resolution statement draft. She doesn't understand how we can do only a limited convention verses the constitutional one. She doesn't see how a limited even works, so we need to get her information about it. She also wants to know if we have spoken to any constitutional lawyers about the vaiidity of only a limited convention. 
She also wanted us to know about the Convention in September that the GOP is holding. It will be a mainly GOP ""party"" that will be paid for by all of the states budget funds, so Arizona is also being billed for a convention that is being widely known as a GOP Party. They are going to be working on two main themes: Term Limits & Budget Reform. They are also stating that they are pushing for a ""limited convention"", but they are wanting to ratify and propose/write & ratify a new constitutional amendment. 
Finally, she stated that she is all for free and fair elecitons, especially to get the money out of politics. And she would like to be a participant or at least an observer of the WOLF-PAC meetings and/or informative emails/flyers or information sent out. She would like to see our vision of the limited convention, but isn't certain how it would work.",1 - Supportive,AZ
Maria Syms,Tony Spears,7/9/2017,Emailed legislator,I sent an email with the Arizona Resolution attached to it. ,2 - Not Confirmed,AZ
Kelli Butler,Tony Spears,7/9/2017,Emailed legislator,I sent what I call a round 2 email. I thanked her for her service and sent her the DOJ report explaining and breaking down the Article V: Limited Convention. ,2 - Not Confirmed,AZ
Kelli Butler,Tony Spears,7/10/2017,Phone call with staff,I talked with Jasmine Snipes and asked if she had received my email I sent to her. She did confirm that she did receive my email and would make sure Kelli Butler got it. I'll call later in the week to make sure Representative Butler has had a chance to go over it. ,2 - Not Confirmed,AZ
Maria Syms,Tony Spears,7/10/2017,Phone call with staff,I talked with Amanda this morning and asked if she had received my email I sent to Representative Maria Syms on 07-09-2017. She did confirm that she had received it and would make sure that Ms. Syms would look at it. Will follow up later in the week to see if Ms. Syms has indeed had a chance to look over the email. ,2 - Not Confirmed,AZ
reginald bolding,Rogelio Ramirez,7/7/2017,Phone call with staff,I call her assistant to see if there any updates on the august 15 &16th retreat. no updates as of yet.,2 - Not Confirmed,AZ
Rebecca Rios,Rogelio Ramirez,7/13/2017,Phone call with staff,had a talk with the Rep's assistant and i will be meeting with the rep on Wednesday July 19.,2 - Not Confirmed,AZ
Bob Thorpe,Tony Spears,7/20/2017,Phone call with staff,I talked with Bob Thorpe's staff and got an email address from his secretary. Will send a detailed email about the legislation calling for free and fair elections with Arizona's resolution. ,2 - Not Confirmed,AZ
Heather Carter,Tony Spears,7/21/2017,Phone call with staff,Talked with Heather Carter's intern. Left number with her and was told to call back Monday since her assistant will be back in the office at that time. ,2 - Not Confirmed,AZ
Kevin Payne,Rogelio Ramirez,7/26/2017,Met Legislator,"I met Rep Payne at a project connect event we were holding. I was his tour guide for the event and I mentioned that I am also a wolf pac volunteer. Rep Payne has herd about us and our efforts to pass a resolution calling for and article V convention. He himself has co-sponsored multiple article V bills and has introduced bills related to article V. He gave me his personal cellphone number and to day 7/27/17 I called his assistant, she is out of the office but the in place assistant is going to try and get ahold of him and she is going to call me back. ",2 - Not Confirmed,AZ
kevin Payne,Rogelio Ramirez,7/29/2017,Phone call with Legislator,I had a call with Rep Payne. I sent him our darft resolution. He seemed very supportive of the rasolution but has not commited to being a sponsor. He told me that he was going to help us by passing our draft around to some other legislators. He also informed me that there is going to be a mock article V convention on Sep 12-15 at 12:00 pm at AZ capitol gallery and it is going to be open to the public. The covention is going to have delegates from other sates to try and set rules and presedent for when a real convention gets called.,2 - Not Confirmed,AZ
Maria Syms,Tony Spears,8/14/2017,Phone call with staff,I called the staff to see if they would be willing to setup a meeting with Ms. Syms and maybe have gotten a call back since. ,2 - Not Confirmed,AZ
Kelli Butler,Tony Spears,8/16/2017,Phone call with staff,Called Kelli Butler to thank her for speaking out against the violence at Charlesville and representing the good people of Arizona. Will continue to call throughout the weeks to build more of a relationship with her and her staff. ,2 - Not Confirmed,AZ
Maria Syms,Tony Spears,8/16/2017,Left voicemail,Called Maria Syms office and left voicemail to see if she supports free and fair elections. Ask if they call back to please leave a voicemail. ,2 - Not Confirmed,AZ
Maria Syms,Dhanya Tadipatri,8/22/2017,Left voicemail,"Left a voicemail, will probably give another call soon.",,AZ
Kelli Butler,Dhanya Tadipatri,8/22/2017,Left voicemail,"Left a voicemail, will try to get in touch with her soon.",,AZ
Maria Syms,Tony Spears,9/6/2017,Phone call with staff,Talked with Maria Syms's office and asked if she would be supporting for free and fair elections and to see if she'd be interested in setting up a meeting with myself to discuss the 28th amendment along with free and fair elections. ,2 - Not Confirmed,AZ
Macario Saldate,Kyle Hughes,9/19/2017,Phone call with staff,Contacted Capitol office Melissa Valdez (Executive Assistant)[mvaldez@azleg.gov]. Rep. Saldate is recovering from major surgery and will be unavailable for constituent meeting for a few weeks. Provided email with draft resolution and requested meeting at earliest possible time. ,2 - Not Confirmed,AZ
Mary Ann Gonzales,Kyle Hughes,9/19/2017,Phone call with staff,Contacted Capitol office Melissa Valdez (Executive Assistant)[mvaldez@azleg.gov]. Rep. Gonzales not in office and unavailable. Provided email with draft resolution and requested meeting with Rep. in district. ,2 - Not Confirmed,AZ
